ISO,Year,AIR
ARB,2017,0.0
ARB,2018,0.0
ARB,2019,0.0
ARB,2020,0.0
ARB,2021,0.0
ARB,2022,0.0
ARB,2023,0.0
ARB,2024,0.0
ARB,2025,0.0
ARB,2026,0.0
ARB,2027,0.0
ARB,2028,0.0
ARB,2029,0.0
ARB,2030,0.0
ARB,2031,0.0
ARB,2032,0.0
ARB,2033,0.0
ARB,2034,0.0
ARB,2035,0.0
ARB,2036,0.0
ARB,2037,0.0
ARB,2038,0.0
ARB,2039,0.0
ARB,2040,0.0
ARB,2041,0.0
ARB,2042,0.0
ARB,2043,0.0
ARB,2044,0.0
ARB,2045,0.0
ARB,2046,0.0
ARB,2047,0.0
ARB,2048,0.0
ARB,2049,0.0
ARB,2050,0.0
ARE,1990,76.0
ARE,1991,76.0
ARE,1992,76.0
ARE,1993,76.0
ARE,1994,76.0
ARE,1995,76.0
ARE,1996,76.0
ARE,1997,76.0
ARE,1998,76.0
ARE,1999,76.0
ARE,2000,76.0
ARE,2001,76.0
ARE,2002,76.0
ARE,2003,76.0
ARE,2004,76.0
ARE,2005,76.0
ARE,2006,76.0
ARE,2007,76.0
ARE,2008,76.0
ARE,2009,76.0
ARE,2010,76.0
ARE,2011,71.1
ARE,2012,48.1
ARE,2013,79.4
ARE,2014,82.5
ARE,2015,82.8
ARE,2016,83.8
ARE,2017,83.8
ARE,2018,81.7
ARE,2019,81.7
ARE,2020,81.7
ARE,2021,81.7
ARE,2022,81.7
ARE,2023,81.7
ARE,2024,81.7
ARE,2025,81.7
ARE,2026,81.7
ARE,2027,81.7
ARE,2028,81.7
ARE,2029,81.7
ARE,2030,81.7
ARE,2031,81.7
ARE,2032,81.7
ARE,2033,81.7
ARE,2034,81.7
ARE,2035,81.7
ARE,2036,81.7
ARE,2037,81.7
ARE,2038,81.7
ARE,2039,81.7
ARE,2040,81.7
ARE,2041,81.7
ARE,2042,81.7
ARE,2043,81.7
ARE,2044,81.7
ARE,2045,81.7
ARE,2046,81.7
ARE,2047,81.7
ARE,2048,81.7
ARE,2049,81.7
ARE,2050,81.7
ARG,1990,1356.0
ARG,1991,1356.0
ARG,1992,1356.0
ARG,1993,1356.0
ARG,1994,1356.0
ARG,1995,1356.0
ARG,1996,1356.0
ARG,1997,1356.0
ARG,1998,1356.0
ARG,1999,1356.0
ARG,2000,1356.0
ARG,2001,1356.0
ARG,2002,1356.0
ARG,2003,1356.0
ARG,2004,1356.0
ARG,2005,1356.0
ARG,2006,1356.0
ARG,2007,1356.0
ARG,2008,1356.0
ARG,2009,1356.0
ARG,2010,1356.0
ARG,2011,2162.0
ARG,2012,2162.0
ARG,2013,2162.0
ARG,2014,2162.0
ARG,2015,2162.0
ARG,2016,2162.0
ARG,2017,2162.0
ARG,2018,1391.074
ARG,2019,1391.074
ARG,2020,1391.074
ARG,2021,1391.074
ARG,2022,1391.074
ARG,2023,1391.074
ARG,2024,1391.074
ARG,2025,1391.074
ARG,2026,1391.074
ARG,2027,1391.074
ARG,2028,1391.074
ARG,2029,1391.074
ARG,2030,1391.074
ARG,2031,1391.074
ARG,2032,1391.074
ARG,2033,1391.074
ARG,2034,1391.074
ARG,2035,1391.074
ARG,2036,1391.074
ARG,2037,1391.074
ARG,2038,1391.074
ARG,2039,1391.074
ARG,2040,1391.074
ARG,2041,1391.074
ARG,2042,1391.074
ARG,2043,1391.074
ARG,2044,1391.074
ARG,2045,1391.074
ARG,2046,1391.074
ARG,2047,1391.074
ARG,2048,1391.074
ARG,2049,1391.074
ARG,2050,1391.074
ARM,1990,153.9
ARM,1991,153.9
ARM,1992,153.9
ARM,1993,153.9
ARM,1994,153.9
ARM,1995,153.9
ARM,1996,153.9
ARM,1997,153.9
ARM,1998,153.9
ARM,1999,153.9
ARM,2000,153.9
ARM,2001,153.9
ARM,2002,153.9
ARM,2003,153.9
ARM,2004,153.9
ARM,2005,153.9
ARM,2006,153.9
ARM,2007,154.6
ARM,2008,155.76
ARM,2009,155.8
ARM,2010,155.2
ARM,2011,154.6
ARM,2012,154.4
ARM,2013,154.2
ARM,2014,154.6
ARM,2015,154.7
ARM,2016,154.8
ARM,2017,154.7
ARM,2018,154.9
ARM,2019,154.9
ARM,2020,154.9
ARM,2021,154.9
ARM,2022,154.9
ARM,2023,154.9
ARM,2024,154.9
ARM,2025,154.9
ARM,2026,154.9
ARM,2027,154.9
ARM,2028,154.9
ARM,2029,154.9
ARM,2030,154.9
ARM,2031,154.9
ARM,2032,154.9
ARM,2033,154.9
ARM,2034,154.9
ARM,2035,154.9
ARM,2036,154.9
ARM,2037,154.9
ARM,2038,154.9
ARM,2039,154.9
ARM,2040,154.9
ARM,2041,154.9
ARM,2042,154.9
ARM,2043,154.9
ARM,2044,154.9
ARM,2045,154.9
ARM,2046,154.9
ARM,2047,154.9
ARM,2048,154.9
ARM,2049,154.9
ARM,2050,154.9
ASM,1990,0.0
ASM,1991,0.0
ASM,1992,0.0
ASM,1993,0.0
ASM,1994,0.0
ASM,1995,0.0
ASM,1996,0.0
ASM,1997,0.0
ASM,1998,0.0
ASM,1999,0.0
ASM,2000,0.0
ASM,2001,0.0
ASM,2002,0.0
ASM,2003,0.0
ASM,2004,0.0
ASM,2005,0.0
ASM,2006,0.0
ASM,2007,0.0
ASM,2008,0.0
ASM,2009,0.0
ASM,2010,0.0
ASM,2011,0.0
ASM,2012,0.0
ASM,2013,0.0
ASM,2014,0.0
ASM,2015,0.0
ASM,2016,0.0
ASM,2017,0.0
ASM,2018,0.0
ASM,2019,0.0
ASM,2020,0.0
ASM,2021,0.0
ASM,2022,0.0
ASM,2023,0.0
ASM,2024,0.0
ASM,2025,0.0
ASM,2026,0.0
ASM,2027,0.0
ASM,2028,0.0
ASM,2029,0.0
ASM,2030,0.0
ASM,2031,0.0
ASM,2032,0.0
ASM,2033,0.0
ASM,2034,0.0
ASM,2035,0.0
ASM,2036,0.0
ASM,2037,0.0
ASM,2038,0.0
ASM,2039,0.0
ASM,2040,0.0
ASM,2041,0.0
ASM,2042,0.0
ASM,2043,0.0
ASM,2044,0.0
ASM,2045,0.0
ASM,2046,0.0
ASM,2047,0.0
ASM,2048,0.0
ASM,2049,0.0
ASM,2050,0.0
ATF,1990,0.0
ATF,1991,0.0
ATF,1992,0.0
ATF,1993,0.0
ATF,1994,0.0
ATF,1995,0.0
ATF,1996,0.0
ATF,1997,0.0
ATF,1998,0.0
ATF,1999,0.0
ATF,2000,0.0
ATF,2001,0.0
ATF,2002,0.0
ATF,2003,0.0
ATF,2004,0.0
ATF,2005,0.0
ATF,2006,0.0
ATF,2007,0.0
ATF,2008,0.0
ATF,2009,0.0
ATF,2010,0.0
ATF,2011,0.0
ATF,2012,0.0
ATF,2013,0.0
ATF,2014,0.0
ATF,2015,0.0
ATF,2016,0.0
ATF,2017,0.0
ATF,2018,0.0
ATF,2019,0.0
ATF,2020,0.0
ATF,2021,0.0
ATF,2022,0.0
ATF,2023,0.0
ATF,2024,0.0
ATF,2025,0.0
ATF,2026,0.0
ATF,2027,0.0
ATF,2028,0.0
ATF,2029,0.0
ATF,2030,0.0
ATF,2031,0.0
ATF,2032,0.0
ATF,2033,0.0
ATF,2034,0.0
ATF,2035,0.0
ATF,2036,0.0
ATF,2037,0.0
ATF,2038,0.0
ATF,2039,0.0
ATF,2040,0.0
ATF,2041,0.0
ATF,2042,0.0
ATF,2043,0.0
ATF,2044,0.0
ATF,2045,0.0
ATF,2046,0.0
ATF,2047,0.0
ATF,2048,0.0
ATF,2049,0.0
ATF,2050,0.0
ATG,1990,0.0
ATG,1991,0.0
ATG,1992,0.0
ATG,1993,0.0
ATG,1994,0.0
ATG,1995,0.0
ATG,1996,0.0
ATG,1997,0.0
ATG,1998,0.0
ATG,1999,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
ATG,2020,0.0
ATG,2021,0.0
ATG,2022,0.0
ATG,2023,0.0
ATG,2024,0.0
ATG,2025,0.0
ATG,2026,0.0
ATG,2027,0.0
ATG,2028,0.0
ATG,2029,0.0
ATG,2030,0.0
ATG,2031,0.0
ATG,2032,0.0
ATG,2033,0.0
ATG,2034,0.0
ATG,2035,0.0
ATG,2036,0.0
ATG,2037,0.0
ATG,2038,0.0
ATG,2039,0.0
ATG,2040,0.0
ATG,2041,0.0
ATG,2042,0.0
ATG,2043,0.0
ATG,2044,0.0
ATG,2045,0.0
ATG,2046,0.0
ATG,2047,0.0
ATG,2048,0.0
ATG,2049,0.0
ATG,2050,0.0
AUS,1990,2506.0
AUS,1991,2506.0
AUS,1992,2506.0
AUS,1993,2506.0
AUS,1994,2506.0
AUS,1995,2506.0
AUS,1996,2506.0
AUS,1997,2506.0
AUS,1998,2506.0
AUS,1999,2506.0
AUS,2000,2506.0
AUS,2001,2506.0
AUS,2002,2545.0
AUS,2003,2378.0
AUS,2004,2402.0
AUS,2005,2405.0
AUS,2006,2546.0
AUS,2007,1923.0
